Endpoint,Samples,Toxic,Non-toxic,Accuracy,Precision,Recall,F1-Score,ROC-AUC
NR-AR,1462,73,1389,0.9651,0.8235,0.3836,0.5234,0.7650
NR-AR-LBD,1355,47,1308,0.9779,0.7429,0.5532,0.6341,0.8406
NR-AhR,1309,143,1166,0.8633,0.4151,0.6154,0.4958,0.8577
NR-Aromatase,1155,58,1097,0.9481,0.4643,0.2241,0.3023,0.7847
NR-ER,1237,160,1077,0.8545,0.4306,0.3875,0.4079,0.7323
NR-ER-LBD,1395,75,1320,0.9477,0.5192,0.3600,0.4252,0.7168
NR-PPAR-gamma,1290,32,1258,0.9729,0.4118,0.2188,0.2857,0.7546
SR-ARE,1142,164,978,0.8476,0.4709,0.4939,0.4821,0.7944
SR-ATAD5,1417,61,1356,0.9548,0.4694,0.3770,0.4182,0.8622
SR-HSE,1292,79,1213,0.9358,0.4545,0.2532,0.3252,0.7726
SR-MMP,1161,200,961,0.8432,0.5354,0.6800,0.5991,0.8564
SR-p53,1361,101,1260,0.9140,0.4000,0.3168,0.3536,0.8105
